date,avg_polarity,std_polarity,article_count,avg_vader_compound,std_vader_compound,positive_ratio,close,high,low,open,volume,daily_return
2011-09-01,0.125,0.1768,2,-0.0386,0.0546,0.5,20.411577224731445,20.917779315731536,20.411577224731445,20.60626987961238,60510800,-1.46613792620216
2011-09-06,0.5,0.0,4,0.4795,0.1848,1.0,19.86644172668457,19.928743326378253,19.55493372821616,19.625023213544964,54929300,-1.1239930359763561
2011-09-07,0.0,0.0,3,0.1468,0.2543,0.0,20.24803924560547,20.24803924560547,19.913167589650797,20.00662073204708,41961000,1.9208146288639982
2011-09-08,0.2273,0.2551,5,0.1065,0.1019,0.6,20.419368743896484,20.76202829338998,20.20910176809095,20.248039711843404,65811900,0.8461535273258658
2011-09-09,0.2,0.2309,4,0.3892,0.4494,0.5,20.045555114746094,20.388214595491945,19.858650348535733,20.248035649487413,64529200,-1.8306816133193515
2011-09-12,-0.0307,0.1631,7,-0.0464,0.2351,0.1429,20.16237068176269,20.19352221924765,19.679533733842344,19.81192479737929,55046100,0.5827504718523224
2011-09-13,0.0,0.0,9,-0.0061,0.318,0.0,20.27918815612793,20.396003454921143,20.100069780232086,20.18573502586109,48792300,0.5793836261075214
2011-09-14,0.0722,0.1679,9,0.1814,0.1876,0.2222,20.63742446899414,20.87105509524293,20.162373845516,20.380430185965555,66739200,1.766521963838863
2011-09-15,0.0,0.0,4,0.2801,0.1926,0.0,21.019014358520508,21.050165889641413,20.4894502125592,20.816533862394905,67808300,1.8490189514668964
2011-09-16,0.1591,0.2362,4,0.1012,0.1168,0.5,21.12026023864746,21.23707553662025,20.894416041897923,21.06574504656553,89681500,0.4816870972159215
2011-09-19,0.1667,0.2887,3,0.0674,0.1168,0.3333,21.190349578857425,21.268226944262107,20.715300472124525,20.87105371754669,52324900,0.3318583171703082
2011-09-20,0.2083,0.4005,6,0.1071,0.1822,0.3333,21.011232376098636,21.41619348207071,20.97229443664974,21.268226638468,49211900,-0.8452772432669176
2011-09-21,0.1364,,1,0.0,,1.0,20.24024772644043,21.07353203121848,20.22467195793932,21.065744146967923,72750700,-3.6693928078928018
2011-09-22,-0.2667,0.2309,3,-0.3178,0.2752,0.0,19.515993118286133,19.975467945224644,19.157759313086466,19.70289790604951,96278300,-3.578289247953137
2011-09-23,0.0,0.0,5,-0.1085,0.2425,0.0,19.515993118286133,19.5860825993708,19.22784879417113,19.39138992644388,64768100,0.0
2011-09-26,0.2578,0.2799,4,-0.0811,0.312,0.5,19.81192779541016,19.87422939442077,19.258999804477074,19.61723511282857,51057600,1.516370062903638
2011-09-27,0.0833,0.2041,6,0.0337,0.0826,0.1667,19.991044998168945,20.18573768358727,19.81971596974025,19.983257112505736,55620700,0.9040877021583071
2011-09-28,0.2121,0.2585,3,0.0248,0.1665,0.6667,19.920957565307617,20.536187227610693,19.866443845435185,20.19352765005724,60736200,-0.3505941428662118
2011-09-29,0.0195,0.0515,7,-0.1687,0.1608,0.1429,19.819713592529297,20.380427924541586,19.53935568382959,20.232461085462614,63407300,-0.5082284445735552
2011-10-03,0.02,0.0274,5,0.1745,0.2653,0.0,19.103240966796875,19.734044658102853,19.095453083523115,19.251206292837743,64592500,-1.4463832546624422
2011-10-04,0.0,0.0,4,0.1192,0.2384,0.0,19.73405265808105,19.772990604848037,18.892980233582183,18.92413029391828,83485400,3.3021186948360315
2011-10-05,0.2121,0.2585,3,-0.0731,0.3183,0.6667,20.16237068176269,20.372639103624977,19.593868491145773,19.79634902863681,94061300,2.1704514075381542
2011-10-06,0.2738,0.4992,7,0.3322,0.3184,0.2857,20.512819290161133,20.55954511382296,20.01440654340259,20.170159784071057,55111400,1.7381319584379495
2011-10-07,0.0,0.0,2,0.0,0.0,0.0,20.442726135253903,20.645206648554275,20.403788203436747,20.512815600834298,52741600,-0.341704150539901
2011-10-10,0.0,,1,0.4019,,0.0,20.98008918762207,21.00345136478211,20.61406590131304,20.699731178600288,41815300,2.628627164561359
2011-10-11,0.3,0.2739,5,0.1259,0.2268,0.6,21.026803970336918,21.081317668894403,20.808747690720068,20.91777657322193,38826200,0.22266246009292612
2011-10-12,0.0857,0.1842,7,0.1248,0.2975,0.1429,20.99565696716309,21.26822700415344,20.94893114194357,21.166987468613296,52489800,-0.1481299926406665
2011-10-13,0.2522,0.6516,3,0.2232,0.5576,0.3333,21.1669921875,21.18256796117464,20.73088092232281,20.839908367270223,43823500,0.816050769951504
2011-10-14,-0.0056,0.0419,3,0.3486,0.0461,0.0,21.23707389831543,21.416190773748447,21.04238125491772,21.26822394885783,50947700,0.33108960495962236
2011-10-17,0.0,,1,0.2732,,0.0,21.011232376098636,21.353891887720174,20.909992842299204,21.11247339528524,39453300,-1.0634305050598702
2011-10-18,0.3333,0.1443,3,0.0674,0.1168,1.0,21.268230438232425,21.338319930072306,20.871057146268907,20.980086069901745,52487900,1.2231460655593773
2011-10-19,0.0844,0.2347,5,0.0405,0.0905,0.2,21.1280460357666,21.39282816249932,21.034594394206263,21.31495228966139,42880000,-0.6591258397023236
2011-10-20,0.0871,0.1602,7,0.0155,0.1672,0.4286,21.05796432495117,21.2915949838875,20.5595499749595,21.229293375811977,76300200,-0.3316999153485156
2011-10-24,0.6,0.0,2,0.4215,0.0,1.0,21.17477035522461,21.338311447581194,21.0579550770575,21.073529358196087,56897800,0.11042946113020147
2011-10-26,0.05,0.1581,10,0.1118,0.1319,0.1,20.70750999450684,21.07353163508032,20.325912585725025,21.05016946815485,63029900,-0.8206163634715824
2011-10-27,0.0,0.0,2,-0.1139,0.0,0.0,21.221498489379883,21.338313780317414,20.75423584024274,21.12804536539765,74512400,2.4821356841522313
2011-10-28,0.0,,1,0.5859,,0.0,21.011232376098636,21.17477498963578,20.863267017883093,21.135835564799702,57712100,-0.990816522153104
2011-11-01,0.025,0.0354,2,0.2202,0.3114,0.0,20.24024772644043,20.497241965160644,20.139008201957274,20.396002440677485,61182600,-2.403340005803345
2011-11-02,0.075,,1,-0.296,,0.0,20.255830764770508,20.4037976478624,20.014412207906155,20.32592026279364,53533100,0.07699035377775054
2011-11-03,0.0714,,1,-0.1531,,0.0,20.660789489746094,20.70751532100311,20.23246466616335,20.434945248793618,65836100,1.999220519159861
2011-11-07,0.0,0.0,4,0.1676,0.3352,0.0,20.87105178833008,20.88662755704871,20.349275419352477,20.41157700883993,42589700,2.095247229954933
2011-11-09,0.0,0.0,4,-0.0064,0.0129,0.0,20.403789520263672,20.832112739443225,20.29476063044269,20.707509567122376,62950900,-3.534626480418479
2011-11-10,0.0,,1,-0.2732,,0.0,20.466100692749023,20.63742976359401,20.341497462064,20.614066100820192,32514400,0.30539019442181736
2011-11-11,-0.025,0.0559,5,-0.0978,0.1573,0.0,20.956716537475582,21.089107597692703,20.691934417041345,20.699722301217296,37903000,2.3972121123218226
2011-11-14,0.0545,0.0305,5,0.0988,0.2209,0.0,20.83990859985352,21.026813429872544,20.754243329074463,20.933360272169253,34199200,-0.557377093941136
2011-11-15,0.0814,0.0869,3,0.1858,0.3218,0.3333,20.98113441467285,21.13806197361779,20.714358462409724,20.83989991093683,43874200,0.6776700298019689
2011-11-16,0.0306,0.0682,9,0.0923,0.1964,0.1111,20.455427169799805,20.80066687000876,20.431889085708,20.769280762457043,53262800,-2.5056187834409993
2011-11-17,0.0,0.0,2,0.0,0.0,0.0,20.03957939147949,20.43189690661505,19.96111558913787,20.408357316940805,70977500,-2.032945950570364
2011-11-21,0.0792,0.2122,9,0.04,0.4957,0.2222,19.615869522094727,19.81202821731567,19.53740574469193,19.804181689918185,61882500,-1.1858146144875015
2011-11-22,0.075,0.0,2,0.0,0.0,0.0,19.451107025146484,19.584493570370977,19.341257081178,19.52956934667316,49204500,-0.839944906661716
2011-11-23,0.0,0.0,2,0.0,0.0,0.0,19.20001220703125,19.45109658955656,19.20001220703125,19.30986209206484,49099700,-1.2909024550151194
2011-11-25,0.1364,0.0,3,0.0,0.0,1.0,19.066625595092773,19.356941138015674,19.066625595092773,19.12939632105284,26164600,-0.694721495487538
2011-11-28,-0.375,0.4743,8,0.2016,0.3581,0.125,19.51386833190918,19.59233061544528,19.372633827028803,19.568792529013297,46766700,2.3456837424421506
2011-11-29,0.5,,1,0.2023,,1.0,19.49032592773437,19.647253465235995,19.41970868551584,19.47463287466983,40917100,-0.12064447588955307
2011-11-30,0.04,0.0894,5,0.0,0.2093,0.2,20.07096099853516,20.078807527247527,19.725721218052563,19.906188385292392,81350900,2.9790936947573288
2011-12-01,0.0341,0.0682,4,0.0997,0.291,0.25,19.8355712890625,20.11019231342661,19.7728005554118,20.05526810855379,48545400,-1.1727874389763415
